Image Name,Majority Vote Label,Number of Annotators who Selected SSA (Out of 7),Partition,generated_caption
MHIST_aaa.png,SSA,6,train,a histopathology slide showing the hepatius and histoidus cells in the liver
MHIST_aab.png,HP,0,train,a histopathology slide showing the location of the hepatius in the hepatius in the hepatius is the hepati
MHIST_aac.png,SSA,5,train,a histopathology slide showing the number of the cells in the liver
MHIST_aae.png,HP,1,train,"a histopathology slide showing the cells of a human cell, with a number of cells in the cell"
MHIST_aaf.png,SSA,5,train,a histopathology slide showing the hepatitoidus and histoidus cells in the hetopodymymymym
MHIST_aag.png,HP,2,test,a histopathology slide showing the cells in the liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver
MHIST_aah.png,HP,2,test,a histopathology slide showing the hepatitoidus and histoidus cells in the hetopodymymymym
MHIST_aai.png,HP,3,train,a histopathology slide showing the cells in the liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver liver
MHIST_aaj.png,HP,0,train,"a histopathology slide showing the hepatitoidus of the liver, with the hetopathosis of the hetopathsis, and hetopodrottictictictictict"
MHIST_aak.png,HP,2,train,"a histopathology slide showing the hepatitoidus of the liver, with the hetopathosis of the liver, and"
MHIST_aal.png,SSA,5,train,"a histopathology slide showing the hepatius and histoidus cells in the left side of the hepatius, and"
MHIST_aam.png,HP,0,train,"a histopathology slide showing the structure of the human cell, showing the cell membrane and the cell membrane, and the cell membrane,"
MHIST_aao.png,HP,0,train,"a histopathology slide showing the location of the hepatius in the hepatius, and the hepatius in the he"
MHIST_aap.png,HP,2,train,"a histopathology slide showing the hepatitoidus of the liver, with the hetopathosis of the liver, and"
MHIST_aaq.png,SSA,5,test,"a histopathology slide showing the cross section of the liver liver liver liver liver, liver liver, liver liver, liver liver, liver"
MHIST_aar.png,HP,0,test,a histopathology slide showing the hepatitoidus and histoidus cells in the hetopodymymymymymus
MHIST_aas.png,SSA,4,train,"a histopathology slide showing the hepatitoidus in the left side of the abdomen, and the hetopathtopod"
MHIST_aat.png,HP,0,train,a histopathology slide showing the hepatitoidus and histopathosis
MHIST_aau.png,HP,0,train,"a histopathology slide showing the cells of a human cell, with a purple circle in the middle"
