image,top_prompts,top_scores
MHIST_aaa.png,"['a photomicrograph of stromal tissue.', 'stromal tissue, H&E stain.', 'an H&E image showing stromal tissue.', 'an example of stromal tissue.', 'a photomicrograph of stroma.', 'a photomicrograph of stromal cells.', 'stroma, H&E.', 'an example of stroma.', 'stromal tissue is present.', 'stroma, H&E stain.']","[0.5879560112953186, 0.5753630995750427, 0.572833240032196, 0.5715135931968689, 0.5625722408294678, 0.551959216594696, 0.5471178889274597, 0.5431437492370605, 0.5288528203964233, 0.5175066590309143]"
MHIST_aab.png,"['uninvolved colon mucosa, H&E.', 'normal colonic mucosa, H&E.', 'normal colonic mucosa, H&E stain.', 'a histopathological image showing normal colon mucosa.', 'a histopathological image showing normal colonic mucosa.', 'normal colon mucosa, H&E.', 'uninvolved colon mucosa, H&E stain.', 'an H&E image showing normal colonic mucosa.', 'an H&E image showing uninvolved colon mucosa.', 'an H&E image of normal colonic mucosa.']","[0.6340375542640686, 0.6137956976890564, 0.5872769951820374, 0.567105770111084, 0.5655468702316284, 0.5600228905677795, 0.5535229444503784, 0.547726571559906, 0.5278763771057129, 0.5236737728118896]"
MHIST_aac.png,"['uninvolved colon mucosa, H&E.', 'a histopathological image showing normal colon mucosa.', 'a photomicrograph showing normal colon mucosa.', 'an H&E image showing uninvolved colon mucosa.', 'an H&E image showing normal colonic mucosa.', 'normal colonic mucosa, H&E.', 'mucin.', 'an H&E image showing background.', 'mucin, H&E stain.', 'an H&E image showing normal colon mucosa.']","[0.5392358303070068, 0.5134930610656738, 0.5129658579826355, 0.5075547099113464, 0.5049700140953064, 0.5032307505607605, 0.486940860748291, 0.4860902726650238, 0.47680750489234924, 0.4707622528076172]"
MHIST_aad.png,"['mucin pool, H&E stain.', 'mucin.', 'uninvolved colon mucosa, H&E.', 'mucin, H&E stain.', 'mucin pool, H&E.', 'an H&E image of mucin pool.', 'an H&E image showing background.', 'an H&E image of background.', 'an H&E image showing uninvolved colon mucosa.', 'mucin, H&E.']","[0.5309017300605774, 0.4949256479740143, 0.4941624701023102, 0.4889172911643982, 0.4699779152870178, 0.45823729038238525, 0.4545148015022278, 0.4312931299209595, 0.43047335743904114, 0.42448264360427856]"
MHIST_aae.png,"['uninvolved colon mucosa, H&E.', 'uninvolved colon mucosa, H&E stain.', 'a photomicrograph showing normal colon mucosa.', 'a histopathological image showing normal colon mucosa.', 'normal colonic mucosa, H&E stain.', 'mucin.', 'a histopathological photograph showing normal colonic mucosa.', 'an H&E image showing normal colonic mucosa.', 'an H&E image of uninvolved colon mucosa.', 'a histopathological photograph showing normal colon mucosa.']","[0.6249353885650635, 0.574869692325592, 0.5708138942718506, 0.561533510684967, 0.5500739812850952, 0.5238456726074219, 0.5211718082427979, 0.5159900188446045, 0.510071873664856, 0.5091437697410583]"
MHIST_aaf.png,"['a histopathological image showing normal colonic mucosa.', 'shows normal colonic mucosa.', 'an H&E image showing normal colonic mucosa.', 'this is normal colonic mucosa.', 'normal colonic mucosa is present.', 'there is normal colonic mucosa.', 'normal colonic mucosa is shown.', 'normal colonic mucosa, H&E.', 'shows normal colon mucosa.', 'a histopathological image showing normal colon mucosa.']","[0.5352517366409302, 0.5050169229507446, 0.49773213267326355, 0.47465693950653076, 0.46054282784461975, 0.46010154485702515, 0.458989679813385, 0.45764556527137756, 0.45532816648483276, 0.45489782094955444]"
MHIST_aag.png,"['uninvolved colon mucosa, H&E.', 'a photomicrograph of background.', 'a histopathological image of background.', 'an H&E stained image showing background.', 'mucin pool, H&E stain.', 'normal colonic mucosa, H&E.', 'an H&E image showing uninvolved colon mucosa.', 'background artifacts, H&E.', 'an H&E image showing background.', 'background artifacts, H&E stain.']","[0.5062410831451416, 0.5047329068183899, 0.4830990135669708, 0.4789866507053375, 0.47563812136650085, 0.46467334032058716, 0.4630335569381714, 0.4556642770767212, 0.45374107360839844, 0.448291540145874]"
MHIST_aah.png,"['uninvolved colon mucosa, H&E.', 'mucin, H&E stain.', 'an H&E image of mucin pool.', 'an H&E stained image of mucin pool.', 'an H&E image showing uninvolved colon mucosa.', 'mucin pool, H&E stain.', 'an H&E image of uninvolved colon mucosa.', 'uninvolved colon mucosa, H&E stain.', 'an H&E stained image of mucin.', 'an H&E image showing mucin pool.']","[0.5417525768280029, 0.5254942178726196, 0.5250226259231567, 0.508601725101471, 0.5057675838470459, 0.49964460730552673, 0.4836675822734833, 0.47581207752227783, 0.4743250012397766, 0.4683152735233307]"
MHIST_aai.png,"['mucin.', 'mucin pool, H&E stain.', 'mucus pool, H&E stain.', 'mucus, H&E stain.', 'mucin pool, H&E.', 'mucin, H&E stain.', 'an H&E stained image of mucus pool.', 'this is mucus.', 'an H&E image of mucus pool.', 'this is mucus pool.']","[0.5530419945716858, 0.5204408168792725, 0.5116756558418274, 0.5114806294441223, 0.5040938258171082, 0.5023976564407349, 0.4945928752422333, 0.4927223324775696, 0.49213653802871704, 0.4888600707054138]"
MHIST_aaj.png,"['uninvolved colon mucosa, H&E.', 'an H&E image of mucin pool.', 'a histopathological image showing normal colon mucosa.', 'an H&E stained image of mucin pool.', 'an H&E image of uninvolved colon mucosa.', 'mucin.', 'this is mucus.', 'an H&E image showing uninvolved colon mucosa.', 'a histopathological image of muscularis mucosa.', 'mucin, H&E stain.']","[0.48530107736587524, 0.4116668403148651, 0.4076152741909027, 0.39954420924186707, 0.39668118953704834, 0.39427319169044495, 0.39193952083587646, 0.3901662528514862, 0.38358157873153687, 0.3712879419326782]"
