image,top_prompts,top_scores
MHIST_dnc.png,"['uninvolved colon mucosa, H&E.', 'an H&E image showing uninvolved colon mucosa.', 'an H&E image showing normal colonic mucosa.', 'a histopathological image showing normal colon mucosa.', 'normal colonic mucosa, H&E stain.', 'normal colonic mucosa, H&E.', 'an H&E image of normal colonic mucosa.', 'an H&E image showing normal colon mucosa.', 'uninvolved colon mucosa, H&E stain.', 'an H&E image of normal colon mucosa.']","[0.5719099640846252, 0.544136643409729, 0.5192074775695801, 0.5156629085540771, 0.5155254602432251, 0.5146750211715698, 0.5120722055435181, 0.5097978115081787, 0.5096062421798706, 0.5029840469360352]"
MHIST_cpm.png,"['uninvolved colon mucosa, H&E.', 'an H&E stained image of normal colon mucosa.', 'an H&E image showing uninvolved colon mucosa.', 'uninvolved colon mucosa, H&E stain.', 'normal colonic mucosa, H&E stain.', 'an H&E image of mucin pool.', 'mucin.', 'mucin, H&E stain.', 'an H&E stained image of mucin pool.', 'a photomicrograph showing normal colon mucosa.']","[0.5709863901138306, 0.5218932628631592, 0.5218642354011536, 0.5210506916046143, 0.5162091255187988, 0.5102590322494507, 0.5043349862098694, 0.5030874013900757, 0.5011696815490723, 0.49851012229919434]"
MHIST_aay.png,"['uninvolved colon mucosa, H&E.', 'uninvolved colon mucosa, H&E stain.', 'an H&E image showing uninvolved colon mucosa.', 'normal colonic mucosa, H&E.', 'mucin.', 'an H&E image of uninvolved colon mucosa.', 'a histopathological image showing normal colon mucosa.', 'normal colonic mucosa, H&E stain.', 'mucin pool, H&E.', 'an H&E stained image of mucin pool.']","[0.5757290124893188, 0.4944010376930237, 0.47539326548576355, 0.47380331158638, 0.45433634519577026, 0.45090252161026, 0.4490543007850647, 0.4467364549636841, 0.43423402309417725, 0.4333305358886719]"
MHIST_drg.png,"['a photomicrograph showing normal colon mucosa.', 'a histopathological image showing normal colonic mucosa.', 'an H&E image showing normal colonic mucosa.', 'this is normal colonic mucosa.', 'normal colonic mucosa, H&E.', 'a histopathological image showing normal colon mucosa.', 'normal colon mucosa, H&E.', 'an example of normal colonic mucosa.', 'uninvolved colon mucosa, H&E.', 'a photomicrograph showing normal colonic mucosa.']","[0.5928730964660645, 0.5879101157188416, 0.5875425338745117, 0.5856002569198608, 0.5811218023300171, 0.568307638168335, 0.5660247802734375, 0.5580593347549438, 0.5515820980072021, 0.5498413443565369]"
MHIST_eej.png,"['uninvolved colon mucosa, H&E.', 'an H&E image showing normal colonic mucosa.', 'normal colonic mucosa, H&E.', 'an H&E image showing normal colon mucosa.', 'an H&E image of normal colonic mucosa.', 'an H&E image showing uninvolved colon mucosa.', 'an H&E image of uninvolved colon mucosa.', 'a photomicrograph showing normal colon mucosa.', 'normal colonic mucosa, H&E stain.', 'an H&E stained image of normal colon mucosa.']","[0.6679823398590088, 0.6579803228378296, 0.6474316120147705, 0.6314396858215332, 0.6305931806564331, 0.6251316666603088, 0.6244428753852844, 0.6203972101211548, 0.6151612997055054, 0.6065521240234375]"
MHIST_dbg.png,"['a photomicrograph showing normal colon mucosa.', 'uninvolved colon mucosa, H&E.', 'an H&E image showing normal colonic mucosa.', 'an H&E image showing normal colon mucosa.', 'a photomicrograph showing normal colonic mucosa.', 'an H&E image of uninvolved colon mucosa.', 'normal colonic mucosa, H&E.', 'an H&E image of normal colonic mucosa.', 'a histopathological image showing normal colon mucosa.', 'an H&E stained image of normal colon mucosa.']","[0.7419888973236084, 0.6892065405845642, 0.683921217918396, 0.6803780794143677, 0.6747673749923706, 0.655526876449585, 0.6516458988189697, 0.6494604349136353, 0.6481947898864746, 0.6453339457511902]"
MHIST_abu.png,"['uninvolved colon mucosa, H&E.', 'an H&E image showing uninvolved colon mucosa.', 'an H&E image of uninvolved colon mucosa.', 'an H&E stained image of uninvolved colon mucosa.', 'an H&E image showing normal colon mucosa.', 'an H&E image showing normal colonic mucosa.', 'an H&E stained image showing uninvolved colon mucosa.', 'an H&E stained image of normal colon mucosa.', 'normal colon mucosa, H&E.', 'an H&E stained image showing normal colon mucosa.']","[0.6204991936683655, 0.604780375957489, 0.5926930904388428, 0.581828773021698, 0.5746503472328186, 0.5615594983100891, 0.561058521270752, 0.5581586956977844, 0.5558551549911499, 0.5543863773345947]"
MHIST_bqv.png,"['an H&E image showing uninvolved colon mucosa.', 'uninvolved colon mucosa, H&E.', 'an H&E image showing normal colonic mucosa.', 'an H&E image showing normal colon mucosa.', 'an H&E image of normal colonic mucosa.', 'normal colonic mucosa, H&E.', 'an H&E image of uninvolved colon mucosa.', 'normal colonic mucosa, H&E stain.', 'a histopathological image showing normal colon mucosa.', 'an H&E image of mucin pool.']","[0.6346322894096375, 0.6144079566001892, 0.5807767510414124, 0.562933087348938, 0.5609636306762695, 0.5479600429534912, 0.5439599752426147, 0.5385812520980835, 0.5319989919662476, 0.5313847064971924]"
MHIST_cqc.png,"['an H&E image showing normal colonic mucosa.', 'uninvolved colon mucosa, H&E.', 'a histopathological image showing normal colonic mucosa.', 'an H&E image of uninvolved colon mucosa.', 'normal colonic mucosa, H&E.', 'normal colonic mucosa is present.', 'an H&E image of normal colonic mucosa.', 'an H&E image showing mucin.', 'an H&E stained image of uninvolved colon mucosa.', 'an example of mucin.']","[0.5600912570953369, 0.5525171160697937, 0.5271762609481812, 0.5223551988601685, 0.5205073952674866, 0.5187487602233887, 0.5170319080352783, 0.5166949033737183, 0.5157968997955322, 0.5141958594322205]"
MHIST_cdz.png,"['mucin pool, H&E stain.', 'mucin.', 'an H&E image of mucin pool.', 'an H&E stained image of mucin pool.', 'uninvolved colon mucosa, H&E.', 'mucin, H&E stain.', 'mucin pool, H&E.', 'there is mucin.', 'normal colonic mucosa, H&E stain.', 'normal colonic mucosa, H&E.']","[0.5719165205955505, 0.5541751384735107, 0.5431845188140869, 0.5380926132202148, 0.5281394124031067, 0.5209231972694397, 0.519188642501831, 0.49239784479141235, 0.48187002539634705, 0.4758196771144867]"
MHIST_dcn.png,"['a photomicrograph showing normal colon mucosa.', 'uninvolved colon mucosa, H&E.', 'a histopathological image showing normal colon mucosa.', 'a histopathological photograph of normal colon mucosa.', 'a histopathological photograph of normal colonic mucosa.', 'an H&E image showing uninvolved colon mucosa.', 'an H&E image showing normal colon mucosa.', 'a photomicrograph showing normal colonic mucosa.', 'an H&E image showing normal colonic mucosa.', 'a histopathological photograph showing normal colon mucosa.']","[0.6718433499336243, 0.6197060942649841, 0.6145774126052856, 0.5973169803619385, 0.5874125957489014, 0.5862067341804504, 0.5853801369667053, 0.5847967267036438, 0.5798652172088623, 0.5752534866333008]"
MHIST_bpq.png,"['uninvolved colon mucosa, H&E.', 'an H&E image showing uninvolved colon mucosa.', 'mucin, H&E stain.', 'an H&E image showing normal colon mucosa.', 'an H&E image showing normal colonic mucosa.', 'mucin.', 'mucin pool, H&E stain.', 'uninvolved colon mucosa, H&E stain.', 'a histopathological image showing normal colon mucosa.', 'an H&E image of uninvolved colon mucosa.']","[0.5814740657806396, 0.5632134079933167, 0.5415348410606384, 0.5235790014266968, 0.5150505304336548, 0.5078675150871277, 0.5077559947967529, 0.5075955390930176, 0.5075516700744629, 0.5007703304290771]"
