image,top_prompts,top_scores
MHIST_dnc.png,"['uninvolved colon mucosa, H&E.', 'an H&E image showing uninvolved colon mucosa.', 'malignant epithelium, H&E stain.', 'an H&E image showing normal colonic mucosa.', 'a histopathological image showing normal colon mucosa.', 'normal colonic mucosa, H&E stain.', 'normal colonic mucosa, H&E.', 'an H&E image of normal colonic mucosa.', 'an H&E image showing normal colon mucosa.', 'uninvolved colon mucosa, H&E stain.']","[0.5719097852706909, 0.5441365242004395, 0.5369710922241211, 0.5192079544067383, 0.515663206577301, 0.5155256986618042, 0.5146749019622803, 0.5120724439620972, 0.5097978711128235, 0.5096063613891602]"
MHIST_cpm.png,"['uninvolved colon mucosa, H&E.', 'a histopathological image showing adenocarcinoma.', 'an H&E stained image of normal colon mucosa.', 'an H&E image showing uninvolved colon mucosa.', 'uninvolved colon mucosa, H&E stain.', 'normal colonic mucosa, H&E stain.', 'an H&E image of mucin pool.', 'mucin.', 'mucin, H&E stain.', 'an H&E stained image of mucin pool.']","[0.570986270904541, 0.5233637094497681, 0.5218930840492249, 0.521864116191864, 0.5210508704185486, 0.5162091255187988, 0.5102587938308716, 0.5043352246284485, 0.5030875205993652, 0.5011692643165588]"
MHIST_aay.png,"['uninvolved colon mucosa, H&E.', 'uninvolved colon mucosa, H&E stain.', 'an H&E image showing uninvolved colon mucosa.', 'normal colonic mucosa, H&E.', 'a histopathological image showing adenocarcinoma.', 'mucin.', 'an H&E image of uninvolved colon mucosa.', 'a histopathological image showing normal colon mucosa.', 'normal colonic mucosa, H&E stain.', 'mucin pool, H&E.']","[0.5757287740707397, 0.49440115690231323, 0.4753931164741516, 0.47380316257476807, 0.4674667716026306, 0.45433661341667175, 0.4509027302265167, 0.44905441999435425, 0.4467364549636841, 0.4342342019081116]"
MHIST_drg.png,"['a photomicrograph showing normal colon mucosa.', 'a histopathological image showing normal colonic mucosa.', 'an H&E image showing normal colonic mucosa.', 'this is normal colonic mucosa.', 'normal colonic mucosa, H&E.', 'a histopathological image showing normal colon mucosa.', 'normal colon mucosa, H&E.', 'an example of normal colonic mucosa.', 'uninvolved colon mucosa, H&E.', 'a photomicrograph showing normal colonic mucosa.']","[0.592873215675354, 0.587909996509552, 0.5875427722930908, 0.5856003761291504, 0.581121563911438, 0.568307638168335, 0.5660245418548584, 0.5580593943595886, 0.5515820384025574, 0.5498412847518921]"
MHIST_eej.png,"['uninvolved colon mucosa, H&E.', 'an H&E image showing normal colonic mucosa.', 'normal colonic mucosa, H&E.', 'an H&E image showing normal colon mucosa.', 'an H&E image of normal colonic mucosa.', 'an H&E image showing uninvolved colon mucosa.', 'an H&E image of uninvolved colon mucosa.', 'a photomicrograph showing normal colon mucosa.', 'normal colonic mucosa, H&E stain.', 'an H&E stained image of normal colon mucosa.']","[0.6679821610450745, 0.6579806208610535, 0.647431492805481, 0.6314396858215332, 0.6305932402610779, 0.6251316070556641, 0.6244431734085083, 0.6203973293304443, 0.6151611804962158, 0.606552004814148]"
MHIST_dbg.png,"['a photomicrograph showing normal colon mucosa.', 'uninvolved colon mucosa, H&E.', 'an H&E image showing normal colonic mucosa.', 'an H&E image showing normal colon mucosa.', 'a photomicrograph showing normal colonic mucosa.', 'an H&E image of uninvolved colon mucosa.', 'normal colonic mucosa, H&E.', 'an H&E image of normal colonic mucosa.', 'a histopathological image showing normal colon mucosa.', 'an H&E stained image of normal colon mucosa.']","[0.7419888377189636, 0.6892064809799194, 0.6839215159416199, 0.6803780198097229, 0.6747673153877258, 0.6555271148681641, 0.6516458988189697, 0.64946049451828, 0.6481947898864746, 0.6453337669372559]"
MHIST_abu.png,"['uninvolved colon mucosa, H&E.', 'an H&E image showing uninvolved colon mucosa.', 'an H&E image of uninvolved colon mucosa.', 'an H&E stained image of uninvolved colon mucosa.', 'an H&E image showing normal colon mucosa.', 'an H&E image showing normal colonic mucosa.', 'an H&E stained image showing uninvolved colon mucosa.', 'an H&E stained image of normal colon mucosa.', 'normal colon mucosa, H&E.', 'an H&E stained image showing normal colon mucosa.']","[0.6204988956451416, 0.6047801971435547, 0.5926930904388428, 0.5818285942077637, 0.5746504664421082, 0.561559796333313, 0.5610586404800415, 0.5581583976745605, 0.5558551549911499, 0.5543863773345947]"
MHIST_bqv.png,"['an H&E image showing uninvolved colon mucosa.', 'uninvolved colon mucosa, H&E.', 'an H&E image showing normal colonic mucosa.', 'an image showing mucin.', 'an H&E image showing normal colon mucosa.', 'an H&E image of normal colonic mucosa.', 'an H&E image of colorectal adenocarcinoma epithelium.', 'normal colonic mucosa, H&E.', 'an H&E image of uninvolved colon mucosa.', 'normal colonic mucosa, H&E stain.']","[0.6346319317817688, 0.6144075989723206, 0.5807769298553467, 0.5649574398994446, 0.5629329085350037, 0.5609638690948486, 0.5485925674438477, 0.547960102558136, 0.5439598560333252, 0.538581132888794]"
MHIST_cqc.png,"['fat.', 'a photomicrograph showing adipose.', 'an H&E stained image showing adipocytes.', 'a histopathological image showing fat.', 'an H&E image showing adipocytes.', 'an H&E image showing normal colonic mucosa.', 'a photomicrograph showing fat.', 'an image showing adipose tissue.', 'uninvolved colon mucosa, H&E.', 'an image showing fat.']","[0.589614748954773, 0.5816127061843872, 0.5717868804931641, 0.5680848956108093, 0.5677613615989685, 0.5600916147232056, 0.553780198097229, 0.5533608198165894, 0.552517294883728, 0.5508313179016113]"
MHIST_cdz.png,"['mucin pool, H&E stain.', 'mucin.', 'an H&E image of mucin pool.', 'an H&E stained image of mucin pool.', 'uninvolved colon mucosa, H&E.', 'mucin, H&E stain.', 'mucin pool, H&E.', 'there is mucin.', 'normal colonic mucosa, H&E stain.', 'normal colonic mucosa, H&E.']","[0.5719165802001953, 0.5541751980781555, 0.5431845784187317, 0.5380922555923462, 0.5281392931938171, 0.5209232568740845, 0.5191887617111206, 0.4923979341983795, 0.48186999559402466, 0.47581955790519714]"
MHIST_dcn.png,"['a photomicrograph showing normal colon mucosa.', 'uninvolved colon mucosa, H&E.', 'a histopathological image showing normal colon mucosa.', 'a histopathological photograph of normal colon mucosa.', 'a histopathological photograph of normal colonic mucosa.', 'an H&E image showing uninvolved colon mucosa.', 'an H&E image showing normal colon mucosa.', 'a photomicrograph showing normal colonic mucosa.', 'an H&E image showing normal colonic mucosa.', 'a histopathological photograph showing normal colon mucosa.']","[0.671843409538269, 0.6197060346603394, 0.6145773530006409, 0.5973166823387146, 0.5874125957489014, 0.5862066745758057, 0.5853801369667053, 0.584796667098999, 0.5798654556274414, 0.5752530694007874]"
MHIST_bpq.png,"['uninvolved colon mucosa, H&E.', 'an H&E image showing uninvolved colon mucosa.', 'mucin, H&E stain.', 'an H&E image showing normal colon mucosa.', 'an image showing adenocarcinoma.', 'an H&E image showing normal colonic mucosa.', 'an image showing mucus pool.', 'an image showing mucin.', 'mucin.', 'mucin pool, H&E stain.']","[0.581473708152771, 0.5632131099700928, 0.5415348410606384, 0.5235790014266968, 0.5183160305023193, 0.5150506496429443, 0.5142459869384766, 0.5088627934455872, 0.5078678131103516, 0.5077557563781738]"
MHIST_dcq.png,"['an H&E stained image of normal colon mucosa.', 'an H&E stained image of normal colonic mucosa.', 'penmarking, H&E.', 'an H&E image of mucin pool.', 'penmarking, H&E stain.', 'normal colonic mucosa, H&E stain.', 'uninvolved colon mucosa, H&E.', 'an H&E image showing penmarking.', 'an H&E image showing uninvolved colon mucosa.', 'an H&E image of benign epithelium.']","[0.5669326782226562, 0.5655767917633057, 0.550301730632782, 0.5431786775588989, 0.5350130200386047, 0.5333255529403687, 0.5317870378494263, 0.5283090472221375, 0.5159983038902283, 0.5147323608398438]"
MHIST_cqb.png,"['uninvolved colon mucosa, H&E.', 'normal colonic mucosa, H&E.', 'an H&E image of mucin pool.', 'normal colon mucosa, H&E.', 'a histopathological image showing normal colon mucosa.', 'an H&E stained image of mucin pool.', 'an H&E image showing normal colonic mucosa.', 'normal colonic mucosa, H&E stain.', 'an H&E image of uninvolved colon mucosa.', 'mucin, H&E stain.']","[0.5659555792808533, 0.553485631942749, 0.5327481031417847, 0.5315030217170715, 0.5285978317260742, 0.5282244682312012, 0.5063645243644714, 0.4975944757461548, 0.49173128604888916, 0.48654550313949585]"
MHIST_dpw.png,"['uninvolved colon mucosa, H&E.', 'a photomicrograph showing normal colon mucosa.', 'a histopathological image showing normal colon mucosa.', 'an H&E image showing uninvolved colon mucosa.', 'uninvolved colon mucosa, H&E stain.', 'an H&E image showing normal colonic mucosa.', 'normal colonic mucosa, H&E stain.', 'an H&E image of uninvolved colon mucosa.', 'an H&E image showing normal colon mucosa.', 'a histopathological image showing normal colonic mucosa.']","[0.6612272262573242, 0.6249018311500549, 0.6164657473564148, 0.6057084202766418, 0.5932883024215698, 0.5892702341079712, 0.5864896774291992, 0.5771975517272949, 0.5732868909835815, 0.5712448358535767]"
MHIST_bkk.png,"['uninvolved colon mucosa, H&E.', 'a photomicrograph showing normal colon mucosa.', 'a histopathological image showing normal colon mucosa.', 'normal colonic mucosa, H&E.', 'normal colonic mucosa, H&E stain.', 'normal colon mucosa, H&E.', 'an H&E image showing normal colonic mucosa.', 'uninvolved colon mucosa, H&E stain.', 'an H&E image showing normal colon mucosa.', 'a histopathological image showing normal colonic mucosa.']","[0.6587600708007812, 0.655246376991272, 0.654869794845581, 0.6267498731613159, 0.6194665431976318, 0.6155771017074585, 0.6026598215103149, 0.5926790833473206, 0.5900040864944458, 0.5793589353561401]"
MHIST_ecz.png,"['uninvolved colon mucosa, H&E.', 'an H&E image showing uninvolved colon mucosa.', 'uninvolved colon mucosa, H&E stain.', 'a histopathological image showing adenocarcinoma.', 'normal colonic mucosa, H&E stain.', 'an H&E image of uninvolved colon mucosa.', 'mucin, H&E stain.', 'an H&E image of mucin pool.', 'an H&E stained image of normal colon mucosa.', 'a photomicrograph showing normal colon mucosa.']","[0.5744678974151611, 0.5298329591751099, 0.5023850202560425, 0.49739399552345276, 0.4946911633014679, 0.4825516939163208, 0.4790033996105194, 0.47762730717658997, 0.47600066661834717, 0.4746415615081787]"
MHIST_eev.png,"['a photomicrograph showing normal colon mucosa.', 'a histopathological image showing normal colon mucosa.', 'a histopathological image showing normal colonic mucosa.', 'uninvolved colon mucosa, H&E stain.', 'shows colorectal adenocarcinoma epithelium.', 'uninvolved colon mucosa, H&E.', 'presence of normal colon mucosa.', 'a photomicrograph showing uninvolved colon mucosa.', 'an H&E image showing normal colonic mucosa.', 'a photomicrograph showing normal colonic mucosa.']","[0.6348092555999756, 0.5891565084457397, 0.5680870413780212, 0.5633194446563721, 0.5407917499542236, 0.540677547454834, 0.5393741726875305, 0.5305482149124146, 0.5248984694480896, 0.5210714936256409]"
MHIST_cdv.png,"['uninvolved colon mucosa, H&E.', 'an H&E image showing mucin.', 'there is mucin.', 'an H&E stained image of mucin.', 'mucus, H&E stain.', 'an H&E image of mucin pool.', 'uninvolved colon mucosa, H&E stain.', 'mucin, H&E stain.', 'an H&E stained image of mucin pool.', 'normal colonic mucosa, H&E stain.']","[0.596534252166748, 0.5614420175552368, 0.559689462184906, 0.5562906861305237, 0.5540575385093689, 0.5523874759674072, 0.5390359163284302, 0.538512647151947, 0.5347613096237183, 0.5241804122924805]"
MHIST_bym.png,"['uninvolved colon mucosa, H&E.', 'normal colonic mucosa, H&E.', 'a photomicrograph showing normal colon mucosa.', 'normal colonic mucosa, H&E stain.', 'normal colon mucosa, H&E.', 'an H&E image showing normal colon mucosa.', 'uninvolved colon mucosa, H&E stain.', 'an H&E image showing uninvolved colon mucosa.', 'an H&E image showing normal colonic mucosa.', 'a histopathological image showing normal colon mucosa.']","[0.654098391532898, 0.6140561699867249, 0.612382173538208, 0.5962556004524231, 0.5897263884544373, 0.5878039598464966, 0.5870579481124878, 0.5812240839004517, 0.5765956044197083, 0.5690059065818787]"
MHIST_aox.png,"['uninvolved colon mucosa, H&E.', 'an H&E image showing normal colonic mucosa.', 'uninvolved colon mucosa, H&E stain.', 'mucin, H&E stain.', 'an H&E image showing uninvolved colon mucosa.', 'normal colonic mucosa, H&E stain.', 'an H&E image showing normal colon mucosa.', 'an H&E stained image of normal colon mucosa.', 'a histopathological image showing normal colon mucosa.', 'mucin.']","[0.5999673008918762, 0.5499438643455505, 0.5496374368667603, 0.5482619404792786, 0.5475422143936157, 0.5446139574050903, 0.5441946387290955, 0.5234359502792358, 0.5220732688903809, 0.521742045879364]"
MHIST_dyd.png,"['uninvolved colon mucosa, H&E.', 'an H&E image showing normal colon mucosa.', 'a photomicrograph showing normal colon mucosa.', 'an H&E image showing uninvolved colon mucosa.', 'an H&E image showing normal colonic mucosa.', 'an H&E stained image of normal colon mucosa.', 'a histopathological image showing normal colon mucosa.', 'an H&E stained image showing normal colon mucosa.', 'normal colonic mucosa, H&E stain.', 'uninvolved colon mucosa, H&E stain.']","[0.6447811126708984, 0.6267189979553223, 0.6117348670959473, 0.6082529425621033, 0.603848934173584, 0.5909862518310547, 0.5894551277160645, 0.5825673341751099, 0.5814225673675537, 0.5792120695114136]"
MHIST_bbu.png,"['a histopathological image showing adenocarcinoma.', 'malignant epithelium, H&E stain.', 'a histopathological photograph of colorectal adenocarcinoma epithelium.', 'uninvolved colon mucosa, H&E.', 'there is mucin.', 'a histopathological photograph showing adenocarcinoma.', 'an H&E image of mucin pool.', 'a photomicrograph showing colorectal adenocarcinoma.', 'mucin.', 'mucin pool, H&E stain.']","[0.5864711999893188, 0.5314041972160339, 0.5140659213066101, 0.5125303864479065, 0.4890510141849518, 0.4876056909561157, 0.4838203191757202, 0.48050937056541443, 0.47974056005477905, 0.4689025580883026]"
MHIST_cax.png,"['uninvolved colon mucosa, H&E.', 'uninvolved colon mucosa, H&E stain.', 'an H&E image showing uninvolved colon mucosa.', 'mucin, H&E stain.', 'normal colonic mucosa, H&E stain.', 'an H&E image showing normal colon mucosa.', 'an H&E image showing mucin.', 'mucus, H&E stain.', 'an H&E image showing normal colonic mucosa.', 'normal colonic mucosa, H&E.']","[0.6376772522926331, 0.5978869795799255, 0.5970924496650696, 0.5816317796707153, 0.5755901336669922, 0.5640046000480652, 0.5502707958221436, 0.5497938990592957, 0.5490226149559021, 0.5403414368629456]"
MHIST_eiy.png,"['mucin, H&E stain.', 'uninvolved colon mucosa, H&E.', 'normal colonic mucosa, H&E stain.', 'mucin pool, H&E stain.', 'uninvolved colon mucosa, H&E stain.', 'an H&E image showing mucin.', 'mucin pool, H&E.', 'mucin, H&E.', 'an H&E image showing uninvolved colon mucosa.', 'there is mucin.']","[0.6208716630935669, 0.59745854139328, 0.5735935568809509, 0.5725568532943726, 0.5667062997817993, 0.5559223294258118, 0.5508710145950317, 0.548283040523529, 0.5448077917098999, 0.54202800989151]"
MHIST_ege.png,"['uninvolved colon mucosa, H&E.', 'normal colonic mucosa, H&E.', 'an H&E image showing normal colonic mucosa.', 'an H&E stained image of normal colonic mucosa.', 'an H&E image of normal colonic mucosa.', 'an H&E image of uninvolved colon mucosa.', 'an H&E stained image of normal colon mucosa.', 'an H&E image of mucin pool.', 'an H&E image of normal colon mucosa.', 'normal colon mucosa, H&E.']","[0.6322256922721863, 0.6133607625961304, 0.6119497418403625, 0.6113905906677246, 0.6095996499061584, 0.5905816555023193, 0.5884724855422974, 0.5880419015884399, 0.5862206220626831, 0.5857212543487549]"
MHIST_dsr.png,"['uninvolved colon mucosa, H&E.', 'an H&E image showing uninvolved colon mucosa.', 'an H&E image of uninvolved colon mucosa.', 'a photomicrograph showing normal colon mucosa.', 'normal colonic mucosa, H&E.', 'an H&E image of normal colonic mucosa.', 'an H&E image showing normal colonic mucosa.', 'normal colon mucosa, H&E.', 'uninvolved colon mucosa, H&E stain.', 'an H&E image showing normal colon mucosa.']","[0.6412233114242554, 0.616389274597168, 0.6039796471595764, 0.5944788455963135, 0.5781426429748535, 0.563642680644989, 0.5565407276153564, 0.553741455078125, 0.5440732836723328, 0.5426577925682068]"
MHIST_cvv.png,"['a histopathological image showing normal colon mucosa.', 'uninvolved colon mucosa, H&E.', 'an H&E image of mucin pool.', 'an H&E stained image of mucin pool.', 'there is mucin.', 'a histopathological image showing normal colonic mucosa.', 'normal colonic mucosa, H&E.', 'normal colonic mucosa, H&E stain.', 'an H&E image showing normal colonic mucosa.', 'normal colon mucosa, H&E.']","[0.5312341451644897, 0.5227020978927612, 0.5071963667869568, 0.49649882316589355, 0.4957917630672455, 0.49556446075439453, 0.4784303307533264, 0.4768393337726593, 0.474549263715744, 0.47400376200675964]"
MHIST_bml.png,"['uninvolved colon mucosa, H&E.', 'a histopathological image showing normal colon mucosa.', 'an H&E image showing normal colonic mucosa.', 'an H&E stained image of normal colon mucosa.', 'an H&E image showing normal colon mucosa.', 'an H&E stained image showing uninvolved colon mucosa.', 'normal colonic mucosa, H&E.', 'a histopathological image showing lymphocytes.', 'an H&E image showing uninvolved colon mucosa.', 'normal colonic mucosa, H&E stain.']","[0.5525858402252197, 0.5478009581565857, 0.5388604402542114, 0.5253764986991882, 0.5193668603897095, 0.5183765888214111, 0.5177216529846191, 0.5149276256561279, 0.5143500566482544, 0.5135138630867004]"
MHIST_cnj.png,"['an H&E image showing background artifacts.', 'there is background artifacts.', 'an H&E stained image showing background artifacts.', 'an H&E image of necrotic debris.', 'a histopathological image of penmarking.', 'an example of background artifacts.', 'an H&E image of background artifacts.', 'penmarking, H&E stain.', 'an H&E stained image of background artifacts.', 'a photomicrograph showing background artifacts.']","[0.6275982856750488, 0.6226166486740112, 0.6015286445617676, 0.5961429476737976, 0.5931289196014404, 0.5851620435714722, 0.5834115147590637, 0.5778257846832275, 0.5706037282943726, 0.5663380026817322]"
MHIST_aha.png,"['mucin pool, H&E stain.', 'a histopathological image showing adenocarcinoma.', 'mucin, H&E stain.', 'an image showing adenocarcinoma.', 'malignant epithelium, H&E stain.', 'an H&E image showing uninvolved colon mucosa.', 'mucin, H&E.', 'uninvolved colon mucosa, H&E.', 'a histopathological photograph showing adenocarcinoma.', 'an H&E stained image of mucin pool.']","[0.5802316069602966, 0.5740007758140564, 0.5588477849960327, 0.5584388971328735, 0.5250831246376038, 0.5139836668968201, 0.49258148670196533, 0.4888021945953369, 0.4831150472164154, 0.48105108737945557]"
MHIST_cns.png,"['uninvolved colon mucosa, H&E.', 'an H&E image showing uninvolved colon mucosa.', 'uninvolved colon mucosa, H&E stain.', 'a photomicrograph showing normal colon mucosa.', 'a histopathological image showing normal colon mucosa.', 'an H&E image showing normal colonic mucosa.', 'normal colonic mucosa, H&E stain.', 'normal colonic mucosa, H&E.', 'an H&E image showing normal colon mucosa.', 'an H&E image of uninvolved colon mucosa.']","[0.6135081648826599, 0.544489324092865, 0.538765013217926, 0.5379996299743652, 0.5301895141601562, 0.524928629398346, 0.5236244201660156, 0.5211702585220337, 0.5126049518585205, 0.5121914148330688]"
MHIST_bgt.png,"['uninvolved colon mucosa, H&E.', 'a histopathological image showing normal colon mucosa.', 'normal colonic mucosa, H&E.', 'normal colon mucosa, H&E.', 'a histopathological image of normal colon mucosa.', 'a photomicrograph showing normal colon mucosa.', 'normal colonic mucosa, H&E stain.', 'a histopathological image showing normal colonic mucosa.', 'an H&E image showing normal colonic mucosa.', 'normal colon mucosa, H&E stain.']","[0.563618540763855, 0.5536695718765259, 0.5346263647079468, 0.516170859336853, 0.4775441288948059, 0.47750014066696167, 0.4769122898578644, 0.4746904671192169, 0.46630075573921204, 0.4646194577217102]"
MHIST_cpd.png,"['uninvolved colon mucosa, H&E.', 'uninvolved colon mucosa, H&E stain.', 'an H&E image showing uninvolved colon mucosa.', 'a photomicrograph showing normal colon mucosa.', 'normal colonic mucosa, H&E stain.', 'a histopathological image showing normal colon mucosa.', 'an H&E image of uninvolved colon mucosa.', 'normal colonic mucosa, H&E.', 'an H&E image showing normal colonic mucosa.', 'an H&E image showing normal colon mucosa.']","[0.6295176148414612, 0.5605349540710449, 0.5505754947662354, 0.5492013692855835, 0.5288443565368652, 0.520940899848938, 0.5184580087661743, 0.5178938508033752, 0.5056165456771851, 0.5053830146789551]"
MHIST_aqd.png,"['an H&E image showing uninvolved colon mucosa.', 'uninvolved colon mucosa, H&E.', 'an image of fat.', 'an H&E image showing normal colon mucosa.', 'an H&E image showing normal colonic mucosa.', 'an H&E image of uninvolved colon mucosa.', 'uninvolved colon mucosa, H&E stain.', 'an H&E stained image of normal colon mucosa.', 'mucin, H&E stain.', 'an H&E image of mucin pool.']","[0.5827124714851379, 0.5588363409042358, 0.5264168381690979, 0.5234949588775635, 0.5185419917106628, 0.5175105929374695, 0.49572432041168213, 0.4946569502353668, 0.4886913001537323, 0.48421403765678406]"
MHIST_avf.png,"['an example of smooth muscle tissue.', 'an image of smooth muscle tissue.', 'an H&E image of muscularis mucosa.', 'muscularis mucosa, H&E.', 'smooth muscle tissue.', 'smooth muscle.', 'an example of smooth muscle.', 'an H&E image showing uninvolved colon mucosa.', 'muscularis mucosa, H&E stain.', 'an H&E stained image of muscularis mucosa.']","[0.6371700763702393, 0.6244395971298218, 0.6081815361976624, 0.604096531867981, 0.602025032043457, 0.5962578058242798, 0.5809298753738403, 0.576495885848999, 0.573977530002594, 0.5724360942840576]"
MHIST_dkj.png,"['an image showing adenocarcinoma.', 'a histopathological image of muscularis mucosa.', 'an H&E image showing uninvolved colon mucosa.', 'uninvolved colon mucosa, H&E.', 'a histopathological image showing adenocarcinoma.', 'an H&E image of mucin pool.', 'an image of stroma.', 'an image of background.', 'an H&E stained image of normal colonic mucosa.', 'an H&E image showing background.']","[0.5637434720993042, 0.5275892615318298, 0.48318180441856384, 0.47371089458465576, 0.47157523036003113, 0.4645776152610779, 0.4643034338951111, 0.46197620034217834, 0.4436632990837097, 0.44262418150901794]"
MHIST_dfb.png,"['an H&E image showing uninvolved colon mucosa.', 'uninvolved colon mucosa, H&E.', 'an H&E image showing normal colonic mucosa.', 'normal colonic mucosa, H&E stain.', 'uninvolved colon mucosa, H&E stain.', 'an H&E image showing normal colon mucosa.', 'an H&E image of normal colonic mucosa.', 'an H&E stained image of normal colonic mucosa.', 'a histopathological image of muscularis mucosa.', 'an H&E stained image of normal colon mucosa.']","[0.5856595039367676, 0.5743579864501953, 0.5519188642501831, 0.5397173166275024, 0.5387194156646729, 0.5285691618919373, 0.5281749367713928, 0.522241473197937, 0.5161992311477661, 0.515425443649292]"
MHIST_csn.png,"['uninvolved colon mucosa, H&E.', 'an H&E image showing uninvolved colon mucosa.', 'a photomicrograph showing normal colon mucosa.', 'uninvolved colon mucosa, H&E stain.', 'a histopathological image showing normal colon mucosa.', 'an H&E image showing normal colon mucosa.', 'an H&E image of uninvolved colon mucosa.', 'an H&E image showing normal colonic mucosa.', 'normal colonic mucosa, H&E stain.', 'a histopathological photograph showing normal colon mucosa.']","[0.6313807964324951, 0.6176254153251648, 0.5911912322044373, 0.5766041874885559, 0.5724657773971558, 0.5704611539840698, 0.5411969423294067, 0.5404318571090698, 0.5389997363090515, 0.5359550714492798]"
MHIST_ekt.png,"['a histopathological image showing normal colon mucosa.', 'a photomicrograph showing normal colon mucosa.', 'uninvolved colon mucosa, H&E.', 'a histopathological photograph showing normal colon mucosa.', 'a histopathological image showing normal colonic mucosa.', 'a histopathological photograph of normal colon mucosa.', 'an H&E image showing uninvolved colon mucosa.', 'shows colorectal adenocarcinoma epithelium.', 'normal colonic mucosa, H&E.', 'an H&E image showing normal colonic mucosa.']","[0.6096292734146118, 0.5586801767349243, 0.5547203421592712, 0.5341572761535645, 0.5271528959274292, 0.5229399800300598, 0.5164945721626282, 0.5102592706680298, 0.5097091794013977, 0.5038273930549622]"
MHIST_cuv.png,"['an H&E image showing normal colonic mucosa.', 'uninvolved colon mucosa, H&E.', 'an H&E image showing normal colon mucosa.', 'an H&E stained image of normal colon mucosa.', 'an H&E image of uninvolved colon mucosa.', 'a histopathological image showing normal colon mucosa.', 'an H&E stained image of normal colonic mucosa.', 'an H&E image of normal colon mucosa.', 'an H&E image of normal colonic mucosa.', 'a photomicrograph showing normal colon mucosa.']","[0.6130878925323486, 0.6052669286727905, 0.5900113582611084, 0.5868966579437256, 0.5774698257446289, 0.5767155289649963, 0.5746653079986572, 0.5691381692886353, 0.5662565231323242, 0.5610224008560181]"
MHIST_bnw.png,"['uninvolved colon mucosa, H&E.', 'uninvolved colon mucosa, H&E stain.', 'a photomicrograph showing normal colon mucosa.', 'normal colonic mucosa, H&E stain.', 'normal colonic mucosa, H&E.', 'an H&E image showing normal colon mucosa.', 'an H&E image showing normal colonic mucosa.', 'an H&E image of uninvolved colon mucosa.', 'normal colon mucosa, H&E.', 'a histopathological image showing normal colon mucosa.']","[0.6317732930183411, 0.5744513273239136, 0.5603500604629517, 0.5519216060638428, 0.5468846559524536, 0.5415536761283875, 0.5299890041351318, 0.5292975306510925, 0.5237470865249634, 0.5157644748687744]"
MHIST_ehv.png,"['there is background artifacts.', 'an image showing adenocarcinoma.', 'an H&E image showing background.', 'an example of background artifacts.', 'an H&E stained image of lymphoid aggregate.', 'lymphoid aggregate, H&E stain.', 'an H&E stained image showing background.', 'an H&E image showing lymphoid aggregate.', 'an H&E stained image showing lymphoid aggregate.', 'an H&E image showing background artifacts.']","[0.6387273073196411, 0.5910491347312927, 0.58784419298172, 0.58772873878479, 0.5844879150390625, 0.5843535661697388, 0.5810428261756897, 0.5793588757514954, 0.5776457190513611, 0.5734692811965942]"
MHIST_edt.png,"['uninvolved colon mucosa, H&E.', 'an H&E image showing uninvolved colon mucosa.', 'a histopathological image showing normal colon mucosa.', 'a histopathological image showing adenocarcinoma.', 'uninvolved colon mucosa, H&E stain.', 'a photomicrograph showing normal colon mucosa.', 'normal colonic mucosa, H&E.', 'normal colonic mucosa, H&E stain.', 'a histopathological photograph showing normal colon mucosa.', 'an H&E image showing normal colon mucosa.']","[0.6037260293960571, 0.5591260194778442, 0.5373513102531433, 0.5335021018981934, 0.5319546461105347, 0.5229243040084839, 0.5151610374450684, 0.5115141868591309, 0.5089120864868164, 0.5070379972457886]"
MHIST_ejc.png,"['a histopathological image of muscularis mucosa.', 'an H&E image showing uninvolved colon mucosa.', 'a histopathological image showing background.', 'a photomicrograph showing lymphoid aggregate.', 'a histopathological image showing muscularis mucosa.', 'shows lymphoid aggregate.', 'a histopathological image showing normal colon mucosa.', 'a histopathological photograph showing normal colon mucosa.', 'uninvolved colon mucosa, H&E.', 'a histopathological photograph showing uninvolved colon mucosa.']","[0.5555422902107239, 0.5481459498405457, 0.517503023147583, 0.4970811605453491, 0.495527982711792, 0.49171513319015503, 0.47990626096725464, 0.4778192639350891, 0.4769201874732971, 0.47402703762054443]"
